1,"# [title page]  THE  BOW IN THE CLOUD;  OR,  A COLLECTION OF ORIGINAL CONTRIBUTIONS,  IN PROSE AND POETRY,  ILLUSTRATIVE OF THE EVILS OF SLAVERY,  AND  COMMEMORATIVE OF ITS ABOLITION IN THE BRITISH COLONIES.",-1.2
2,"Sign of the passing storm, Symbol of wrath gone by, Born of the cloud and sun,-—what form Of beauty tracks the sky?",0.1
3,From Afric to the Isles of slaves.,-1
4,"The Rainbow spans the Atlantic waves  Black, white, and bond, and free, Castes and proscriptions cease; The Negro wakes to liberty; The Negro sleeps in peace; Read the great charter on his brow, ""I AM a *Man*, a *Brother* NOW.""  J.",2.8
5,Montgomery.,0
6,"LONDON: JACKSON AND WALFORD, 18, St. Paul's Church-yard.",0
7,1834,0
8,[p.,0
9,ii]  London: R.,0
10,"Clay, Printer, Bread-Street-Hill.",0
11,[p.,0
12,iii]  The entire Profits arising from the sale of this volume will be devoted to the West-Indian Negroes.,0.8
13,"--------  And when thou sendest him out free from thee, thou shalt not let him go away empty: thou shalt furnish him liberally out of thy flock, and out of thy floor, and out of thy wine-press: of that where­-with the Lord thy God hath blessed thee thou shalt give unto him.""",1.25
14,­  Deuteronomy xv.,0
15,"13, 14.",0
16,"-------   ---- ""Receive him for ever; not now as a Slave but above a Slave, a Brother beloved.""",0.15
17,"--Epistle to Philemon, 15, 16.",0
18,[p.,0
19,"iv.]  [blank]  [p.v.]  ## PREFACE  ""The sorrowful sighing of the prisoner"" has long come up into the ear of Him who ""regards the prayer of the destitute.""",-2.5
20,"He hath ""heard their voice, and looked on their affliction, and their labour, and their oppression;"" and, ""according to the great­ness of his power,"" he hath ordained that the oppressed should go free.",-0.65
21,"""Not unto us, O Lord!",0
22,"not unto us, but unto thy name give glory, for thy mercy and thy truth's sake.""",1.75
23,"The storms which have so long obscured the face of the heavens are departing, and brightening scenes and fairer prospects are opening to view--the Bow is set in the Cloud; it is the memorial of mercy, the pledge of peace.",2.55
24,"At such a period, the appearance of a volume, partly illustrative of the evils of [p.",-1
25,"vi] Slavery, may seem to demand an expla­nation.",-1.25
26,"This little Work was projected more than seven years ago, when the state of affairs rendered it in the highest degree desirable to engage, by every legitimate effort, the thoughts and feelings of the British nation on this momentous question.",3
27,To the Editor's friends the causes which prevented its im­mediate publication are known: to strangers the detail would be intrusive and uninter­esting.,-0.5
28,"The valuable papers then kindly furnished, are now presented to the public, with many additional articles composed at later periods.",2.05
29,"They are, for the most part, arranged in the order in which they have been received.",0.6
30,The pieces commemorative of the Abolition of the System will therefore be found towards the close of the volume: those referring to the former State of the Slave occupy the earlier pages.,0.9
31,"To those readers who, at first sight, may think that the papers written before the abo­lition of the system are now out of date and should have been suppressed, the Compiler ventures to suggest, that, even if the ap­pointed apprenticeship of four and six [p.",-0.9
32,"vii] years were already expired, yet the past sorrows of the Negro, and the long-con­tinued apathy of the nation in disregarding his bitter griefs, should be ever remembered with deep humility before God.""",-2.85
33,"We have been verily guilty concerning our brother, in that we saw the anguish of his soul, when he besought us, and we would not hear.""",-0.55
34,"And, though Slavery is banished by legislative enactment from the British colo­nies, over many parts of the globe it still exerts its cruel influence.",-2.75
