"","x"
"1",-1.2
"2",0.1
"3",-1
"4",2.8
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0.8
"13",1.25
"14",0
"15",0
"16",0.15
"17",0
"18",0
"19",-2.5
"20",-0.65
"21",0
"22",1.75
"23",2.55
"24",-1
"25",-1.25
"26",3
"27",-0.5
"28",2.05
"29",0.6
"30",0.9
"31",-0.9
"32",-2.85
"33",-0.55
"34",-2.75
"35",-0.8
"36",0
"37",0
"38",0
"39",0
"40",-2.7
"41",0
"42",0
"43",0
"44",0
"45",2.1
"46",0
"47",-2.25
"48",-0.6
"49",-2.9
"50",0
"51",0.75
"52",0
"53",0.15
"54",0.75
"55",-0.25
"56",2.25
"57",1
"58",1.8
"59",3.5
"60",0
"61",5.4
"62",1.25
"63",0.65
"64",4.1
"65",0
"66",2.55
"67",-0.75
"68",1
"69",-1
"70",0.5
"71",0
"72",0.1
"73",-1
"74",4.65
"75",0
"76",0
"77",0
"78",0
"79",0
"80",-0.5
"81",-0.5
"82",-0.5
"83",0
"84",0
"85",0
"86",0.8
"87",1.5
"88",0
"89",-0.5
"90",0.75
"91",2.6
"92",-1.4
"93",-4.1
"94",-0.25
"95",-2
"96",1.75
"97",0
"98",-0.85
"99",-0.2
"100",2.9
"101",0
"102",0
"103",0
"104",0.1
"105",-1.8
"106",-0.25
"107",2
"108",-0.75
"109",0.5
"110",0.05
"111",0.1
"112",2.5
"113",1.05
"114",1.5
"115",0.05
"116",1.3
"117",0.4
"118",5.2
"119",0.9
"120",1.3
"121",1.85
"122",2
"123",0.3
"124",1.4
"125",0.7
"126",1.45
"127",-0.5
"128",0.15
"129",0
"130",1.25
"131",0.6
"132",0
"133",0
"134",1.8
"135",-0.75
"136",1.05
"137",0.4
"138",1
"139",1
"140",-0.6
"141",0
"142",0.85
"143",1.6
"144",0
"145",-0.4
"146",1.25
"147",1.4
"148",0
"149",-2.25
"150",0.15
"151",1.05
"152",-1
"153",0.4
"154",0.6
"155",-0.5
"156",0
"157",0
"158",0.8
"159",0
"160",-0.75
"161",2
"162",-1
"163",-0.25
"164",0.8
"165",0.25
"166",-1.35
"167",-1.5
"168",0.75
"169",-0.75
"170",0
"171",4.45
"172",3.7
"173",0.95
"174",-0.25
"175",-2.75
"176",2.1
"177",0
"178",-0.25
"179",0.1
"180",-1
"181",-0.9
"182",-0.3
"183",1
"184",0
"185",-0.9
"186",0
"187",2.3
