Reference Number,Volume,Item number,PARENT WORK TITLE,Creator,Creator Role,Date Created (YYYY-MM-DD),Creation Site,Location in Bow in the Cloud,Language,Support,Extent,Notes,
Eng MS 414,Box 1,1a,Note on Contents,"Rawson, Mary Anne (MAR) (1801–1887)",Author,unknown,England: South Yorkshire: Sheffield,,English,Paper,1  sheet,Presumably written much later for her scrapbook of the contents,
Eng MS 414,Box 1,1b,Bow in the Cloud advertisement,Anonymous,Author,1834-00-00,England: London: London,,English,Paper,1  sheet,,
Eng MS 414,Box 1,2,Letter to MAR; A Christian Negro’s Thanks and Prayer; A Negro Mother’s Cradle Song,"Barton, Bernard (1784–1849)",Author,1826-04-05,England: Suffolk: Woodbridge,106–7; 33–34,English,Paper,2 sheets,First sheet is the covering letter; poems are on other sheet front & back,
Eng MS 414,Box 1,3,Letter to MAR,"Barton, Bernard (1784–1849)",Author,1833-04-11,England: Suffolk: Woodbridge,,English,Paper,1  sheet,,
Eng MS 414,Box 1,4,Letter to MAR,"Barton, Bernard (1784–1849)",Author,1833-09-12,England: Suffolk: Woodbridge,,English,Paper,1  sheet,,
Eng MS 414,Box 1,5,The Starting-Post; Or Clarkson at Woods-Mill; The Goal; Or Clarkson in Old Age,"Barton, Bernard (1784–1849)",Author,1833-09-12,England: Suffolk: Woodbridge,xvii–xiv; 406–8,English,Paper,1  sheet folded,Two poems included sheet,
Eng MS 414,Box 1,6,Letter to MAR,"Roscoe, Jane (1797-1853)",Author,1833-11-03,England: Lancashire: Liverpool,,English,Paper,1  sheet,,
Eng MS 414,Box 1,7,"Sonnet; The African Mother, a Fact.","Roscoe, Jane (1797-1853)",Author,1833-11-03,England: Lancashire: Liverpool,194,English,,1  sheet,,
Eng MS 414,Box 1,8,Letter to MAR,"Hill , Thomas",Author,1833-06-15,England: Derbyshire: Chesterfield,,English,Paper,1  sheet,,
Eng MS 414,Box 1,9,Grave of Wilberforce,"Hill , Thomas",Author,1833-08-21,England: Derbyshire: Chesterfield,,English,Paper,1  sheet,"Hill’s first submission, with a penciled note to MAR at the end",
Eng MS 414,Box 1,9+,Portrait of Thomas Hill,Anonymous,Photographer,unknown,England: London: London,,n/a,Photo card,1 card,,
Eng MS 414,Box 1,9a,Grave of Wilberforce,"Hill , Thomas",Author,1833-09-00,England: South Yorkshire: Sheffield,300–2,English,Paper,1  sheet folded,"MAR’s fair copy of the ms; has revisions, & varies from published text",
Eng MS 414,Box 1,10,Letter to MAR,"Hill , Thomas",Author,1833-08-24,England: Derbyshire: Chesterfield,,English,Paper,1  sheet folded,Includes suggestions for further changes to poem,
Eng MS 414,Box 1,11,Letter to MAR,"Hill , Thomas",Author,1834-06-25,England: Derbyshire: Chesterfield,,English,Paper,1  sheet,Thank-you note for MAR’s sending the book,
Eng MS 414,Box 1,12,Letter to MAR; Heard ye those mild tones of gladness,"Sheppard, John (1785–1879)",Author,1834-03-22,England: Somerset: Frome,401–3,English,Paper,1  sheet folded,,
Eng MS 414,Box 1,12+,Portrait of John Sheppard,Anonymous,Photographer,unknown,,,English,Photo card,1 card,,
Eng MS 414,Box 1,13,Letter to MAR; Slave Dowry,"Watson, Joseph",Author,1833-06-28,England: Northumberland: Newcastle,28–31,English,Paper,1  sheet folded,,
Eng MS 414,Box 1,14,"Letter to MAR, 1833; Sonnet … Egypt; The Birthright of Britons","Conder, Eliza ",Author,1833-05-00,England: London: London,32,English,Paper,3 sheets,,
Eng MS 414,Box 1,14a,The Birthright of Britons,"Conder, Eliza ",Author,1833-06?-00,England: South Yorkshire: Sheffield,257–60,English,Paper,1  sheet folded,MAR’s fair copy of the ms,
Eng MS 414,Box 1,15,Letter to MAR,"Conder, Eliza ",Author,1833-04-05?,England: London: London,,English,Paper,1  sheet folded,Transcribe this letter!,
Eng MS 414,Box 1,16,Letter to MAR,"Conder, Eliza ",Author,1834-07-31,England: London: London,,English,Paper,1  sheet folded,,
