Reference number,Volume,Item number ,PARENT WORK TITLE,Creator ,Creator Role,Date Created,Creation Site,Location in Bow in the Cloud,Language,Notes
Eng MS 414,Box 2,60,The Persecuted Missionary; The African Bride; Little African Pleader,"Knibb, William (1803–1845)",Author,1833-05-21,,,English,Lots of revisions. The second piece was not published.
Eng MS 414,Box 2,"60a, 60a+",The Persecuted Missionary,"Knibb, William (1803–1845)",Author,1833?,,220–24,English,MAR’s fair copy; also has revisions
Eng MS 414,Box 2,60b,(A letter…),"Burchell, Thomas (1799–1846)",Author,1833?,,224,English,"Fair copy of selection from Burchell’s letter, written in MAR’s hand (see 103)."
Eng MS 414,Box 2,61,"Rest; Letter to MAR, 1826-03?-21","Benson, Maria",Author,1826-03?-21,England: London: London,,English,Check for differences with 61a
Eng MS 414,Box 2,61a,Rest,"Benson, Maria",Author,1833?,,110–111,English,copy (check for differences with 61)
Eng MS 414,Box 2,62,Letter to MAR,"Benson, Maria",Author,1826-07-15,England: Middlesex,,English,possibly covering letter for 61a
Eng MS 414,Box 2,63,"Letter to MAR, 1833-","Pritchard, J. W. H.",Author,1833-12-26,England: South Yorkshire: Attercliffe,,English,Letter including suggested deletion of first three stanzas of Williams’s “A Voice from the Land of Bondage” (see 318–20)
Eng MS 414,Box 2,63a,The Aged Negro,"Pritchard, J. W. H.",Author,1833?,,,English,"Pritchard’s copy, with minor revisions."
Eng MS 414,Box 2,63b,The Aged Negro,"Pritchard, J. W. H.",Author,1833?,,303–4,English,MAR’s fair copy
Eng MS 414,Box 2,64,Letter to MAR,"Pritchard, J. W. H.",Author,1834-04-11,England: South Yorkshire: Attercliffe,,English,Very important letter: he offers revisions to MAR’s Preface.
Eng MS 414,Box 2,65,Letter to MAR,"Pritchard, J. W. H.",Author,1834? [undated],England: South Yorkshire: Attercliffe,,English,
Eng MS 414,Box 2,66,Letter to MAR,"Pritchard, J. W. H.",Author,1834? [undated],England: South Yorkshire: Attercliffe,,English,
Eng MS 414,Box 2,67,Letter to MAR,"Pritchard, J. W. H.",Author,1834? [undated],England: South Yorkshire: Attercliffe,,English,More evidence of editorial collaboration
Eng MS 414,Box 2,68,Freedom Indeed,"Pritchard, J. W. H.",Author,,,112–22,English,
Eng MS 414,Box 2,69,The Woldsman’s Prayer; Letter to Miss Benson,"Barnard, E. W., Wrangham, Francis (1769–1842)",Author,1826-04-17,England: London: London,123–25,English,"Letter from Wrangham asking Benson to forward his son-in-law’s poem, which he copies out after the letter."
Eng MS 414,Box 2,70,Evening in the West Indies,"Jones, Miss",Author,,,,English,Some revisions
