Reference Number,Volume,Item number ,PARENT WORK TITLE,Creator ,Creator Role,Date Created,Creation Site,Location in The Bow in the Cloud,Language,Notes
Eng 415,Box 1,111,Letter to MAR,"Morpeth George Howard, Lord Carlisle (1802–64)",Author,1833-12-10,England: Yorkshire: Castle Howard,,,
Eng 415,Box 1,112,Letter to MAR,"Morpeth George Howard, Lord Carlisle (1802–64)",Author,1834-06-20,England: London: London,,,Complains about a misprint in his “Ode”: “The glowing bursts of glowing Song” should have read “glorious Song”.
Eng 415,Box 1,112+,Envelope for 112,"Morpeth George Howard, Lord Carlisle (1802–64)",Author,1834-06-20,England: London: London,,,
Eng 415,Box 1,113,Letter to MAR,"Morpeth George Howard, Lord Carlisle (1802–64)",Author,1834-06-24,England: London: London,,,
Eng 415,Box 1,114,Ode on the Abolition of Slavery,"Morpeth George Howard, Lord Carlisle (1802–64)",Author,,,,,
Eng 415,Box 1,114a,Ode on the Abolition of Slavery,"Morpeth George Howard, Lord Carlisle (1802–64)",Author,,,273–75,,Includes the misprint; copied in MAR’s hand
Eng 415,Box 1,114+,Photo of “Lord Carlisle” (Morpeth),,,,,,,
Eng 415,Box 1,114+2,Engraving of Castle Howard (home of Earl of Carlisle),,,,,,,
Eng 415,Box 1,115,Letter to MAR,"Buxton, Thomas Fowell (1786–1845), MP",Author,1833-08-24,England: London: London,,,
Eng 415,Box 1,115+,Letter to MAR [last page of leaf 115],"Buxton, Thomas Fowell (1786–1845), MP",Author,1833-08-24,England: London: London,,,Last leaf of letter (115)
Eng 415,Box 1,116,Letter to MAR,"Buxton, Thomas Fowell (1786–1845), MP",Author,1833-10-06,England: Norfolk: Northrepps,,,116 and 116+ include the original draft of “Compensation for the Slave”
Eng 415,Box 1,116+,Letter to MAR,"Buxton, Thomas Fowell (1786–1845), MP",Author,1833-10-06,England: Norfolk: Northrepps,,,Last leaf of letter (116)
Eng 415,Box 1,116+[2],Engraving of Buxton,,,,,,,
Eng 415,Box 1,116a,Compensation for the Slave,"Buxton, Thomas Fowell (1786–1845), MP",Author,1833-10-06,,276–77,,MAR’s fair copy; see 146a
Eng 415,Box 1,117,Letter to MAR,"Buxton, Thomas Fowell (1786–1845), MP",Author,1834-07-11,,,,
Eng 415,Box 1,117+,Letter to MAR,"Buxton, Thomas Fowell (1786–1845), MP",Author,1834-07-11,,,,Last leaf of letter (117)
Eng 415,Box 1,118,Letter to MAR,"Buxton, Thomas Fowell (1786–1845), MP",Author,1834? (undated),,,,
Eng 415,Box 1,119,Letter to MAR,"Parker, John (1799–1881), MP",Author,1833-11-26,England: London: London,,,
